AVIndex[0] stream 0, offset 48, size 41230, dts 0, flag: 1
AVIndex[1] stream 0, offset 41278, size 10747, dts 512, flag: 0
AVIndex[2] stream 0, offset 52783, size 2505, dts 1024, flag: 0
AVIndex[3] stream 0, offset 55895, size 1168, dts 1536, flag: 0
AVIndex[4] stream 0, offset 57746, size 1028, dts 2048, flag: 0
AVIndex[5] stream 0, offset 59456, size 10448, dts 2560, flag: 0
AVIndex[6] stream 0, offset 70587, size 2295, dts 3072, flag: 0
AVIndex[7] stream 0, offset 73223, size 1054, dts 3584, flag: 0
AVIndex[8] stream 0, offset 75088, size 1064, dts 4096, flag: 0
AVIndex[9] stream 0, offset 76941, size 9730, dts 4608, flag: 0
AVIndex[10] stream 0, offset 87427, size 2318, dts 5120, flag: 0
AVIndex[11] stream 0, offset 90352, size 1036, dts 5632, flag: 0
AVIndex[12] stream 0, offset 92173, size 917, dts 6144, flag: 0
AVIndex[13] stream 0, offset 93690, size 9415, dts 6656, flag: 0
AVIndex[14] stream 0, offset 103830, size 2397, dts 7168, flag: 0
AVIndex[15] stream 0, offset 106595, size 1055, dts 7680, flag: 0
AVIndex[16] stream 0, offset 108272, size 1069, dts 8192, flag: 0
AVIndex[17] stream 0, offset 110085, size 9635, dts 8704, flag: 0
AVIndex[18] stream 0, offset 120340, size 2181, dts 9216, flag: 0
AVIndex[19] stream 0, offset 123221, size 1026, dts 9728, flag: 0
AVIndex[20] stream 0, offset 124997, size 969, dts 10240, flag: 0
AVIndex[21] stream 0, offset 126588, size 9113, dts 10752, flag: 0
AVIndex[22] stream 0, offset 136393, size 2361, dts 11264, flag: 0
AVIndex[23] stream 0, offset 139052, size 1045, dts 11776, flag: 0
AVIndex[24] stream 0, offset 140761, size 994, dts 12288, flag: 0
AVIndex[25] stream 0, offset 142418, size 8225, dts 12800, flag: 0
AVIndex[26] stream 0, offset 151396, size 2351, dts 13312, flag: 0
AVIndex[27] stream 0, offset 154480, size 959, dts 13824, flag: 0
AVIndex[28] stream 0, offset 156074, size 979, dts 14336, flag: 0
AVIndex[29] stream 0, offset 157870, size 6986, dts 14848, flag: 0
AVIndex[30] stream 0, offset 165446, size 2254, dts 15360, flag: 0
AVIndex[31] stream 0, offset 168150, size 1016, dts 15872, flag: 0
AVIndex[32] stream 0, offset 169858, size 990, dts 16384, flag: 0
AVIndex[33] stream 0, offset 171520, size 5107, dts 16896, flag: 0
AVIndex[34] stream 0, offset 177277, size 2382, dts 17408, flag: 0
AVIndex[35] stream 0, offset 180322, size 1085, dts 17920, flag: 0
AVIndex[36] stream 0, offset 182057, size 1058, dts 18432, flag: 0
AVIndex[37] stream 0, offset 183776, size 2224, dts 18944, flag: 0
AVIndex[38] stream 0, offset 186652, size 2803, dts 19456, flag: 0
AVIndex[39] stream 0, offset 189766, size 1037, dts 19968, flag: 0
AVIndex[40] stream 0, offset 191455, size 1405, dts 20480, flag: 0
